	nome	ordine	indirizzo	n_biblioteca	n_laboratori	n_aule_attivita_collettive	n_palestre_coperte	n_palestre_scoperte	n_auditorium	n_ambienti_destinati_ad_aule	n_sale_insegnati	n_cucine	n_servizi_igenici	n_ascensori	n_piani	n_aule_non_utilizzate	n_classi_funzionanti_nell_anno	n_alunni_servizio_trasporto	iscritti_tot	frequentanti_tot	n_docenti	n_bidelli	n_custode	Lat	Lon	quartiere	quartiere_geom
1	ARISTIDE GABELLI (Istituto Comprensivo)	Infanzia	VIA DELLA TOLLERANZA, Bari, Apulia, Italy	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	11.0	0.0	1.0	0.0	3	0.0	40.0	40.0	3.0	1.0	0.0	41.14919642269854	16.735654717994276	XIII - SANTO SPIRITO	"12    POLYGON ((16.73178 41.16969, 16.7318 41.16969,...
Name: geometry, dtype: geometry"
2	ARISTIDE GABELLI (Istituto Comprensivo)	Infanzia	VIA DALMAZIA, Bari, Apulia, Italy	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	6.0	0.0	1.0	0.0	3	15.0	62.0	62.0	10.0	2.0	0.0	41.12007797251458	16.883714615377478	III - MADONNELLA	"4    POLYGON ((16.87762 41.12319, 16.87768 41.12316...
Name: geometry, dtype: geometry"
5	ARISTIDE GABELLI (Istituto Comprensivo)	Primaria	PIAZZETTA ELEONORA, Bari, Apulia, Italy	1.0	1.0	2.0	1.0	1.0	1.0	10.0	0.0	1.0	17.0	1.0	2.0	0.0	5	14.0	81.0	81.0	17.0	1.0	0.0	41.14804645	16.739179070749437	XIII - SANTO SPIRITO	"12    POLYGON ((16.73178 41.16969, 16.7318 41.16969,...
Name: geometry, dtype: geometry"
6	ARISTIDE GABELLI (Istituto Comprensivo)	Primaria	VIA LUCCA, Bari, Apulia, Italy	1.0	1.0	0.0	1.0	1.0	1.0	26.0	0.0	1.0	28.0	1.0	2.0	0.0	20	170.0	359.0	359.0	56.0	6.0	1.0	41.16164565777979	16.7441982180334	XIII - SANTO SPIRITO	"12    POLYGON ((16.73178 41.16969, 16.7318 41.16969,...
Name: geometry, dtype: geometry"
9	BALILLA - IMBRIANI (Istituto Comprensivo)	Infanzia	L.GO CARABELLESE 1 BARI, Bari, Apulia, Italy	1.0	2.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	3.0	0.0	1.0	0.0	9	0.0	164.0	164.0	15.0	3.0	0.0	41.12072	16.87869	III - MADONNELLA	"4    POLYGON ((16.87762 41.12319, 16.87768 41.12316...
Name: geometry, dtype: geometry"
10	BALILLA - IMBRIANI (Istituto Comprensivo)	Primaria	L.GO CARABELLESE 1 BARI, Bari, Apulia, Italy	1.0	3.0	0.0	1.0	0.0	0.0	23.0	0.0	0.0	4.0	1.0	3.0	0.0	23	0.0	421.0	416.0	62.0	9.0	0.0	41.12072	16.87869	III - MADONNELLA	"4    POLYGON ((16.87762 41.12319, 16.87768 41.12316...
Name: geometry, dtype: geometry"
11	BALILLA - IMBRIANI (Istituto Comprensivo)	Secondaria I Grado	L.GO CARABELLESE 1 BARI, Bari, Apulia, Italy	1.0	5.0	1.0	1.0	0.0	1.0	15.0	1.0	0.0	9.0	1.0	3.0	0.0	15	0.0	283.0	283.0	42.0	5.0	0.0	41.12072	16.87869	III - MADONNELLA	"4    POLYGON ((16.87762 41.12319, 16.87768 41.12316...
Name: geometry, dtype: geometry"
26	DE AMICIS - LATERZA - M.S.MICHELE (Istituto Comprensivo)	Infanzia	VIA LUIGI PINTO 1, Bari, Apulia, Italy	0.0	2.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	2.0	2	0.0	36.0	36.0	4.0	2.0	0.0	41.11128078324974	16.87283069938018	VII - CARRASSI	"20    POLYGON ((16.88372 41.08981, 16.88373 41.08942...
Name: geometry, dtype: geometry"
28	DE AMICIS - LATERZA- M.S.MICHELE (Istituto Comprensivo)	Primaria	VIA RE DAVID 179, Bari, Apulia, Italy	0.0	2.0	0.0	1.0	0.0	1.0	21.0	0.0	1.0	17.0	2.0	3.0	0.0	9	1.0	183.0	183.0	30.0	2.0	1.0	41.110117279078956	16.87674786604037	VII - CARRASSI	"20    POLYGON ((16.88372 41.08981, 16.88373 41.08942...
Name: geometry, dtype: geometry"
29	MONTE S.MICHELE 26° Circolo (Istituto Comprensivo)	Primaria	CORSO ALCIDE DE GASPERI 345, Bari, Apulia, Italy	1.0	3.0	3.0	1.0	0.0	1.0	15.0	0.0	0.0	28.0	1.0	3.0	0.0	15	1.0	262.0	262.0	48.0	3.0	1.0	41.09289164704956	16.86902493359135	VII - CARRASSI	"20    POLYGON ((16.88372 41.08981, 16.88373 41.08942...
Name: geometry, dtype: geometry"
30	DE AMICIS-LATERZA-M.S.MICHELE (Istituto Comprensivo)	Infanzia	VIA DE SAMUELE CAGNAZZI 51, Bari, Apulia, Italy	0.0	0.0	0.0	0.0	1.0	0.0	6.0	0.0	0.0	8.0	0.0	3.0	0.0	6	0.0	135.0	135.0	11.0	3.0	0.0	41.10469999815452	16.869529075195267	VII - CARRASSI	"20    POLYGON ((16.88372 41.08981, 16.88373 41.08942...
Name: geometry, dtype: geometry"
31	DE AMICIS - LATERZA - M.S.MICHELE(Istituto Comprensivo)	Primaria	PIAZZALE PUGLIESE 1, Bari, Apulia, Italy	1.0	0.0	1.0	0.0	0.0	0.0	8.0	0.0	0.0	12.0	1.0	3.0	0.0	4	2.0	65.0	65.0	9.0	2.0	1.0	41.09211	16.89051	VI - SAN PASQUALE	"19    POLYGON ((16.88629 41.08059, 16.88619 41.08055...
Name: geometry, dtype: geometry"
32	I.C. DE AMICIS-LATERZA-M.S.MICHELE	Primaria	VIA AMENDOLA, Bari, Apulia, Italy	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	2 pluriclassi	0.0	599.0	599.0	4.0	0.0	0.0	41.11546307987245	16.88022236748941	VI - SAN PASQUALE	"19    POLYGON ((16.88629 41.08059, 16.88619 41.08055...
Name: geometry, dtype: geometry"
33	DE AMICIS-LATERZA-M.S.MICHELE (Istituto Comprensivo)	Infanzia	VIA AMENDOLA, Bari, Apulia, Italy	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1 PLURICLASSE	0.0	327.0	327.0	2.0	0.0	0.0	41.11546307987245	16.88022236748941	VI - SAN PASQUALE	"19    POLYGON ((16.88629 41.08059, 16.88619 41.08055...
Name: geometry, dtype: geometry"
34	C.P.I.A.	Primaria	Via Giulio Petroni 90, Bari, Apulia, Italy	1.0	1.0	1.0	1.0	0.0	1.0	3.0	1.0	0.0	1.0	0.0	1.0	0.0	3	0.0	33.0	17.0	6.0	0.0	0.0	41.09601754078907	16.867552619401152	VII - CARRASSI	"20    POLYGON ((16.88372 41.08981, 16.88373 41.08942...
Name: geometry, dtype: geometry"
35	DE AMICIS-LATERZA-M.S.MICHELE (Istituto Comprensivo)	Infanzia	PIAZZALE PUGLIESE 1, Bari, Apulia, Italy	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	7.0	1.0	1.0	0.0	2	0.0	36.0	36.0	4.0	1.0	0.0	41.09211	16.89051	VI - SAN PASQUALE	"19    POLYGON ((16.88629 41.08059, 16.88619 41.08055...
Name: geometry, dtype: geometry"
37	POGGIOFRANCO - T.FIORE (Istituto Comprensivo)	Primaria	via G. Tauro, Bari, Apulia, Italy	1.0	2.0	2.0	1.0	0.0	0.0	23.0	0.0	0.0	14.0	1.0	1.0	1.0	23	0.0	466.0	466.0	51.0	5.0	0.0	41.09996	16.8611	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
40	DON L.MILANI (Istituto Comprensivo)	Infanzia	Viale delle Regioni n°62 , Bari, Apulia, Italy	0.0	0.0	1.0	1.0	0.0	0.0	3.0	1.0	1.0	3.0	1.0	2.0	0.0	3	0.0	52.0	52.0	10.0	2.0	0.0	41.123055190405964	16.79530497677839	XI - SAN PAOLO	"22    POLYGON ((16.80793 41.13541, 16.81125 41.13412...
Name: geometry, dtype: geometry"
41	DON L.MILANI (Istituto Comprensivo)	Primaria	Viale delle Regioni n°62 , Bari, Apulia, Italy	0.0	3.0	3.0	1.0	0.0	0.0	9.0	1.0	1.0	8.0	1.0	2.0	0.0	9	9.0	130.0	130.0	36.0	3.0	0.0	41.123055190405964	16.79530497677839	XI - SAN PAOLO	"22    POLYGON ((16.80793 41.13541, 16.81125 41.13412...
Name: geometry, dtype: geometry"
44	DON L.MILANI (Istituto Comprensivo)	Infanzia	Via Don Gnocchi snc, Bari, Apulia, Italy	0.0	0.0	2.0	1.0	0.0	1.0	4.0	0.0	1.0	2.0	0.0	0.0	0.0	4	4.0	75.0	73.0	10.0	2.0	1.0	41.12991	16.78562	XI - SAN PAOLO	"22    POLYGON ((16.80793 41.13541, 16.81125 41.13412...
Name: geometry, dtype: geometry"
45	DON L.MILANI (Istituto Comprensivo)	Primaria	Via Don Gnocchi snc, Bari, Apulia, Italy	1.0	3.0	1.0	1.0	0.0	1.0	13.0	1.0	0.0	6.0	1.0	2.0	2.0	13	35.0	226.0	226.0	30.0	5.0	1.0	41.12991	16.78562	XI - SAN PAOLO	"22    POLYGON ((16.80793 41.13541, 16.81125 41.13412...
Name: geometry, dtype: geometry"
46	E.LOI - G.SANTOMAURO (Istituto Comprensivo)	Infanzia	viale G. BARTOLO N.8, Bari, Apulia, Italy	1.0	0.0	0.0	1.0	0.0	1.0	9.0	1.0	0.0	6.0	1.0	1.0	0.0	9	0.0	198.0	198.0	16.0	2.0	1.0	41.09384	16.85765	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
47	E.LOI - G.SANTOMAURO (Istituto Comprensivo)	Primaria	viale G. BARTOLO N.8, Bari, Apulia, Italy	1.0	1.0	0.0	1.0	0.0	1.0	20.0	1.0	0.0	16.0	1.0	2.0	0.0	18	5.0	360.0	360.0	48.0	16.0	1.0	41.09384	16.85765	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
48	E.LOI - G.SANTOMAURO (Istituto Comprensivo)	Secondaria I Grado	viale G. BARTOLO N.8, Bari, Apulia, Italy	1.0	3.0	0.0	1.0	0.0	1.0	19.0	1.0	0.0	15.0	1.0	2.0	0.0	17	12.0	336.0	336.0	53.0	5.0	1.0	41.09384	16.85765	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
57	ELEONORA DUSE (Istituto Comprensivo)	Infanzia	STRADA SAN GIROLAMO, Bari, Apulia, Italy	0.0	2.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	7.0	1.0	2.0	0.0	4	9.0	83.0	83.0	11.0	1.0	0.0	41.13644320526889	16.8190889276183	X  - MARCONI - SAN GIROLAMO - FESCA	"11    POLYGON ((16.79057 41.15032, 16.79059 41.1503,...
Name: geometry, dtype: geometry"
58	ELEONORA DUSE (Istituto Comprensivo)	Primaria	STRADA SAN GIROLAMO, Bari, Apulia, Italy	0.0	2.0	0.0	1.0	0.0	0.0	13.0	0.0	0.0	8.0	1.0	1.0	0.0	13	68.0	248.0	248.0	41.0	5.0	0.0	41.13644320526889	16.8190889276183	X  - MARCONI - SAN GIROLAMO - FESCA	"11    POLYGON ((16.79057 41.15032, 16.79059 41.1503,...
Name: geometry, dtype: geometry"
76	GARIBALDI (Istituto Comprensivo)	Secondaria I Grado	PIZZOLI 1, Bari, Apulia, Italy	1.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	5.0	1.0	1.0	0.0	9	0.0	166.0	166.0	36.0	3.0	0.0	41.12750978209542	16.860589455218477	II - MURAT	"2    POLYGON ((16.86225 41.13358, 16.86226 41.13357...
3    POLYGON ((16.87513 41.12708, 16.87511 41.12707...
Name: geometry, dtype: geometry"
78	GARIBALDI (Istituto Comprensivo)	Infanzia	VIA RAVANAS 1, Bari, Apulia, Italy	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	1.0	1.0	0.0	2	0.0	23.0	23.0	4.0	2.0	0.0	41.1277204	16.857966376540126	IV - LIBERTA'	"5    POLYGON ((16.86161 41.11728, 16.86139 41.11725...
Name: geometry, dtype: geometry"
79	GARIBALDI (Istituto Comprensivo)	Primaria	VIA RAVANAS 1, Bari, Apulia, Italy	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	1	0.0	17.0	17.0	6.0	2.0	0.0	41.1277204	16.857966376540126	IV - LIBERTA'	"5    POLYGON ((16.86161 41.11728, 16.86139 41.11725...
Name: geometry, dtype: geometry"
90	JAPIGIA 1 - VERGA (Istituto Comprensivo)	Infanzia	V.LE JAPIGIA 140 , Bari, Apulia, Italy	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	4.0	0.0	0.0	1.0	4	8.0	96.0	96.0	11.0	2.0	0.0	41.11584496524048	16.89120293612295	V - JAPIGIA	"6    POLYGON ((16.89061 41.11877, 16.89063 41.11876...
Name: geometry, dtype: geometry"
91	JAPIGIA 1 - VERGA (Istituto Comprensivo)	Primaria	V.LE JAPIGIA 140 , Bari, Apulia, Italy	1.0	6.0	0.0	1.0	0.0	1.0	14.0	1.0	1.0	15.0	0.0	1.0	0.0	13	39.0	258.0	258.0	48.0	4.0	1.0	41.11584496524048	16.89120293612295	V - JAPIGIA	"6    POLYGON ((16.89061 41.11877, 16.89063 41.11876...
Name: geometry, dtype: geometry"
93	JAPIGIA 1 - VERGA (Istituto Comprensivo)	Infanzia	VIA PEUCETIA , Bari, Apulia, Italy	1.0	0.0	0.0	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.0	0.0	4	0.0	85.0	85.0	9.0	1.0	1.0	41.11215813944206	16.89452865866958	V - JAPIGIA	"6    POLYGON ((16.89061 41.11877, 16.89063 41.11876...
Name: geometry, dtype: geometry"
94	JAPIGIA 1 - VERGA (Istituto Comprensivo)	Primaria	VIA PEUCETIA , Bari, Apulia, Italy	1.0	3.0	1.0	1.0	1.0	1.0	14.0	0.0	0.0	25.0	1.0	1.0	0.0	14	28.0	321.0	321.0	1.0	5.0	1.0	41.11215813944206	16.89452865866958	V - JAPIGIA	"6    POLYGON ((16.89061 41.11877, 16.89063 41.11876...
Name: geometry, dtype: geometry"
105	MASSARI - GALILEI (Istituto Comprensivo)	Infanzia	VIA DE GEMMIS 13, Bari, Apulia, Italy	0.0	0.0	0.0	1.0	0.0	1.0	6.0	0.0	0.0	4.0	1.0	1.0	0.0	6	0.0	114.0	114.0	14.0	3.0	0.0	41.11234844946779	16.8660018566663	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
