nome,pec,plesso,ordine,indirizzo,dirigente,email,tel,fax,municipio,proprietario,n_biblioteca,n_laboratori,n_refettori,n_aule_attivita_collettive,n_palestre_coperte,n_palestre_scoperte,n_auditorium,n_ambienti_destinati_ad_aule,n_segreteria,n_ambienti_destinati_al_dirigente_scolastico,n_archivio,n_sale_insegnati,n_sale_riunioni,n_cucine,n_servizi_igenici,n_ascensori,n_piani,n_aule_non_utilizzate,n_locali_concessi_a_enti_in_orario_scolastico,n_locali_concessi_a_enti_in_orario_extrascolastico,n_locali_concessi_a_enti_in_orario_entrambi,n_classi_funzionanti_nell_anno,ore_articolate_su_gg,n_ore_a_tempo_normale,n_ore_a_tempo_prolungato,n_ore_a_tempo_pieno,n_ore_serale,n_alunni_refezione,n_alunni_refezione_tempo_pieno,n_alunni_rientro_settimanale,n_alunni_servizio_trasporto,n_alunni_stranieri,n_classi_alunni_stranieri,n_alunni_inadempienti,iscritti_f,iscritti_m,iscritti_tot,frequentanti_f,frequentanti_m,frequentanti_tot,n_docenti,n_bidelli,n_custode,n_mediatori_culturali,matricola_aqp
CEGLIE-MANZONI-LUCARELLI (Istituto Comprensivo),BAIC846005@PEC.ISTRUZIONE.IT,SANTA RITA,Primaria,VIA DEL MONASTERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEMENTINA PERONE - CARLO LEVI (Istituto Comprensivo),baic81900r@pec.istruzione.it,2° PADIGLIONE,Infanzia,VIA NAPOLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEMENTINA PERONE - CARLO LEVI (Istituto Comprensivo),BAIC81900R@PEC.ISTRUZIONE.IT,CARLO LEVI SEC. 1°,Secondaria I Grado,VIA BABUDRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEMENTINA PERONE - CARLO LEVI (Istituto Comprensivo),baic81900r@pec.istruzione.it,CLEM. PERONE INFANZIA,Infanzia,VIA NAZARIATZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEMENTINA PERONE - CARLO LEVI (Istituto Comprensivo),baic81900r@pec.istruzione.it,CLEM. PERONE PRIMARIA,Primaria,VIA NAZARIATZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEMENTINA PERONE - CARLO LEVI (Istituto Comprensivo),baic81900r@pec.istruzione.it,COLLODI (Direzione) PRIMARIA,Primaria,via brigata regina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEMENTINA PERONE - CARLO LEVI (Istituto Comprensivo),baic81900r@pec.istruzione.it,COLLODI INFANZIA,Infanzia,VIA BRIGATA REGINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE AMICIS - LATERZA-M.S.MICHELE (Istituto Comprensivo),baic817005@pec.istruzione.it,GOBETTI,Infanzia,VIA GOBETTI 1,IAIA MARIA,baic817005@istruzione.it,805016690,805016690,2,COMUNE DI BARI,0,0,1,1,0,0,0,4,0,0,0,0,0,0,7,0,1,0,0,0,0,4,5,2,0,2,0,32,32,0,0,4,2,0,37,32,69,37,32,69,11,1,0,0,N2/050140/16
DE AMICIS - LATERZA - M.S.MICHELE (Istituto Comprensivo),BAIC817005@PEC.ISTRUZIONE.IT,DEL PRETE ,Infanzia,VIA LUIGI PINTO 1,IAIA MARIA,baic817005@istruzione.it,805016690,805016690,2,COMUNE DI BARI,0,2,2,1,0,0,0,2,0,0,0,0,0,0,4,0,1,2,0,0,0,2,5,0,0,2,0,36,36,0,0,2,2,0,20,16,36,20,16,36,4,2,0,0,N4-010012-16
DE AMICIS - LATERZA- M.S.MICHELE (Istituto Comprensivo),BAIC817005@PEC.ISTRUZIONE.IT,LATERZA,Secondaria I Grado,VIA ZANARDELLI 16,IAIA MARIA,baic817005@istruzione.it,805016690,805016690,2,COMUNE DI BARI,1,3,0,1,1,0,1,9,1,1,1,1,0,0,20,1,2,0,13,0,0,9,5,9,0,0,0,0,0,60,0,17,8,0,96,100,196,96,100,196,32,3,1,0,N2/050225/16
DE AMICIS - LATERZA- M.S.MICHELE (Istituto Comprensivo),baic817005@pec.istruzione.it,De Amicis,Primaria,VIA RE DAVID 179,IAIA MARIA,baic817005@istruzione.it,805016690,805016690,2,COMUNE DI BARI,0,2,1,0,1,0,1,21,1,1,1,0,0,1,17,2,3,0,0,0,0,9,5,5,0,4,0,75,75,0,1,8,8,0,94,89,183,94,89,183,30,2,1,0,N2/050140/16
MONTE S.MICHELE 26° Circolo (Istituto Comprensivo),baic817005@pec.istruzione.it,PRIMARIA,Primaria,CORSO ALCIDE DE GASPERI 345,IAIA MARIA,baic817005@istruzione.it,805016690,805016690,2,COMUNE DI BARI,1,3,1,3,1,0,1,15,3,1,1,0,0,0,28,1,3,0,1,0,0,15,5,14,0,1,0,18,18,0,1,4,3,0,126,136,262,126,136,262,48,3,1,0,N2-050113-16
DE AMICIS-LATERZA-M.S.MICHELE (Istituto Comprensivo),baic817005@pec.istruzione.it,MONTE S.MICHELE ,Infanzia,VIA DE SAMUELE CAGNAZZI 51,IAIA MARIA,baic817005@istruzione.it,805016690,805016690,2,COMUNE DI BARI,0,0,1,0,0,1,0,6,0,0,0,0,0,0,8,0,3,0,0,0,0,6,5,3,0,3,0,61,61,0,0,0,0,0,65,70,135,65,70,135,11,3,0,0,N2-050113-16
DE AMICIS - LATERZA - M.S.MICHELE(Istituto Comprensivo),BAIC817005@PEC.ISTRUZIONE.IT,MUNGIVACCA ,Primaria,PIAZZALE PUGLIESE 1,IAIA MARIA,baic817005@istruzione.it,805016690,805016690,2,COMUNE DI BARI,1,0,1,1,0,0,0,8,0,0,0,0,0,0,12,1,3,0,0,0,0,4,5,4,0,0,0,0,0,0,2,4,4,0,33,32,65,33,32,65,9,2,1,0,N2/050085/16
I.C. DE AMICIS-LATERZA-M.S.MICHELE,BAIC817005@PEC.ISTRUZIONE.IT,Ospedale Pediatrico GIOVANNI XXIII,Primaria,VIA AMENDOLA,IAIA MARIA,baic817005@istruzione.it,805016690,805016690,2,COMUNE DI BARI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2 pluriclassi,5,2,0,0,0,0,0,0,0,0,0,0,300,299,599,300,299,599,4,0,0,0,non disponibile
DE AMICIS-LATERZA-M.S.MICHELE (Istituto Comprensivo),BAIC817005@PEC.ISTRUZIONE.IT,Ospedale Pediatrico Giovanni 23,Infanzia,VIA AMENDOLA,IAIA MARIA,baic817005@istruzione.it,805016690,8050166690,2,COMUNE DI BARI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1 PLURICLASSE,5,1,0,0,0,0,0,0,0,0,0,0,157,170,327,157,170,327,2,0,0,0,0
C.P.I.A.,bamm29700r@pec.istruzione.it,I.P.M. FORNELLI Primaria,Primaria,Via Giulio Petroni 90,Redavid Laura,bamm29700r@istruzione.it,080 504 1012,5051026,2,Ministero della Giustizia,1,1,0,1,1,0,1,3,0,0,0,1,0,0,1,0,1,0,3,0,0,3,5,5,0,0,0,0,0,0,0,13,3,0,0,33,33,0,17,17,6,0,0,0,0
DE AMICIS-LATERZA-M.S.MICHELE (Istituto Comprensivo),BAIC817005@PEC.ISTRUZIONE.IT,MUNGIVACCA,Infanzia,PIAZZALE PUGLIESE 1,IAIA MARIA,baic817005@istruzione.it,805016690,805016690,2,COMUNE DI BARI,0,1,1,0,0,0,0,2,0,0,0,1,0,0,7,1,1,0,0,0,0,2,5,1,0,1,0,20,20,0,0,0,0,0,13,23,36,13,23,36,4,1,0,0,N2/050085/16
POGGIOFRANCO - T.FIORE (Istituto Comprensivo),baic8ab002@pec.istruzione.it,T.FIORE,Secondaria I Grado,via M. L. King 38,Di Cosola Porziana,baic8ab002@istruzione.it,805614931,5610343,2,Comune di Bari,0,6,0,0,2,1,1,19,0,1,2,1,1,0,16,1,3,2,0,2,0,19,5,5,0,0,0,0,0,0,1,8,8,-1,171,210,381,171,210,381,50,8,1,0,0
POGGIOFRANCO - T.FIORE (Istituto Comprensivo),baic8ab002@pec.istruzione.it,TAURO PRIMARIA,Primaria,via G. Tauro,Di Cosola Porziana,baic8ab002@istruzione.it,805613356,0,2,Comune di Bari,1,2,0,2,1,0,0,23,1,1,2,0,0,0,14,1,1,1,0,1,0,23,4,5,0,0,0,0,0,0,0,12,10,-1,225,241,466,225,241,466,51,5,0,0,0
POGGIOFRANCO - T.FIORE (Istituto Comprensivo),baic8ab002@pec.istruzione.it,KING,Infanzia,via M. L. King 42,Di Cosola Porziana,baic8ab002@istruzione.it,805045038,0,2,Comune di Bari,1,0,0,0,0,0,0,4,0,0,1,0,0,0,7,0,0,0,0,0,0,4,5,5,5,5,5,0,0,0,0,0,0,-1,44,41,85,44,41,85,9,2,0,0,0
DON L.MILANI (Istituto Comprensivo),baic812002@pec.istruzione.it,AZZARITA-DE FILIPPO UNGARETTI SEC. 1°,Secondaria I Grado,via Don Carlo Gnocchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DON L.MILANI (Istituto Comprensivo),baic812002@pec.istruzione.it,DON L.MILANI (Direzione) INFANZIA,Infanzia,Viale delle Regioni n°62 ,Prof.ssa Zoraide Cappabianca,baic812002@istruzione.it,080 537 1951,0,3,Comune di Bari,0,0,1,1,1,0,0,3,0,1,0,1,0,1,3,1,2,0,0,0,0,3,5,0,0,3,0,52,52,0,0,0,0,0,27,25,52,27,25,52,10,2,0,0,N2050169-16
DON L.MILANI (Istituto Comprensivo),baic812002@pec.istruzione.it,DON L.MILANI (Direzione) PRIMARIA,Primaria,Viale delle Regioni n°62 ,Prof.ssa Zoraide Cappabianca,baic812002@istruzione.it,080 537 1951,0,3,Comune di Bari,0,3,1,3,1,0,0,9,4,1,0,1,1,1,8,1,2,0,0,1,0,9,5,1,0,8,0,118,118,0,9,0,0,0,67,63,130,67,63,130,36,3,0,0,N3001106-13
DON L.MILANI (Istituto Comprensivo),baic812002@pec.istruzione.it,LANAVE INFANZIA,Infanzia,Via Grazia Deledda 2,Prof.ssa Zoraide Cappabianca,baic812002@istruzione.it,080 538 1867,0,3,Comune di Bari,0,0,0,2,0,0,0,4,0,0,0,0,0,1,3,0,0,3,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,10,7,17,10,7,17,3,1,1,0,N2050164-16
DON L.MILANI (Istituto Comprensivo),baic812002@pec.istruzione.it,NUOVO PLESSO DON L.MILANI INFANZIA,Infanzia,VIA TRENTINO 13,Prof.ssa Zoraide Cappabianca,baic812002@istruzione.it,080 538 0556,0,3,Comune di Bari,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,12,14,26,12,14,26,6,1,0,0,N0250360-16
DON L.MILANI (Istituto Comprensivo),baic812002@pec.istruzione.it,VITO DE FANO ex COMPARTO B INFANZIA,Infanzia,Via Don Gnocchi snc,Prof.ssa Zoraide Cappabianca,baic812002@istruzione.it,080 537 9125,0,3,Comune di Bari,0,0,1,2,1,0,1,4,0,1,1,0,1,1,2,0,0,0,0,0,0,4,5,2,0,2,0,41,0,0,4,0,0,0,41,34,75,41,32,73,10,2,1,0,N2050165-16
DON L.MILANI (Istituto Comprensivo),baic812002@pec.istruzione.it,VITO DE FANO ex COMPARTO B PRIMARIA,Primaria,Via Don Gnocchi snc,Prof.ssa Zoraide Cappabianca,baic812002@istruzione.it,080 537 9125,0,3,Comune di Bari,1,3,1,1,1,0,1,13,0,1,1,1,0,0,6,1,2,2,1,0,0,13,5,13,0,0,0,0,0,0,35,0,0,3,100,126,226,100,126,226,30,5,1,0,N2050165-16
E.LOI - G.SANTOMAURO (Istituto Comprensivo),baic84400d@pec.istruzione.it,EL/7 INFANZIA,Infanzia,viale G. BARTOLO N.8,MINOIA ANNA LIA,baic84400d@istruzione.it,805046347,805046347,2,COMUNE DI BARI,1,0,1,0,1,0,1,9,0,1,1,1,0,0,6,1,1,0,0,0,0,9,5,3,0,6,0,130,130,0,0,0,0,0,112,86,198,112,86,198,16,2,1,0,2-01992
E.LOI - G.SANTOMAURO (Istituto Comprensivo),baic84400d@pec.istruzione.it,EL/7 PRIMARIA,Primaria,viale G. BARTOLO N.8,MINOIA ANNA LIA,baic84400d@istruzione.it,805046347,5046347,2,COMUNE DI BARI,1,1,1,0,1,0,1,20,0,1,1,1,0,0,16,1,2,0,0,0,0,18,5,16,0,2,0,44,44,2,5,3,3,0,168,192,360,168,192,360,48,16,1,0,2-01992
E.LOI - G.SANTOMAURO (Istituto Comprensivo),baic84400d@pec.istruzione.it,SMM SANTOMAURO,Secondaria I Grado,viale G. BARTOLO N.8,MINOIA ANNA LIA,baic84400d@istruzione.it,805013617,805013617,2,COMUNE DI BARI,1,3,0,0,1,0,1,19,3,1,2,1,0,0,15,1,2,0,0,0,0,17,5,17,0,0,0,0,0,2,12,2,2,0,164,172,336,164,172,336,53,5,1,0,IM236999/00
ELEONORA DUSE (Istituto Comprensivo),baic816009@pec.istruzione.it,SAN GIOVANNI BOSCO,Primaria,P.ZZA REDENTORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEONORA DUSE (Istituto Comprensivo),baic816009@pec.istruzione.it,SAN GIOVANNI BOSCO,Secondaria I Grado,P.ZZA REDENTORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEONORA DUSE (Istituto Comprensivo),baic816009@pec.istruzione.it,SAN GIOVANNI BOSCO,Infanzia,VIA DON BOSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEONORA DUSE (Istituto Comprensivo),baic816009@pec.istruzione.it,SUOR AGNESE SALVATI,Infanzia,VIA TREVISANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEONORA DUSE (Istituto Comprensivo),baic816009@pec.istruzione.it,MARCONI,Primaria,VIA SKANDERBERG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEONORA DUSE (Istituto Comprensivo),baic816009@pec.istruzione.it,DUSE PRIMARIA,Primaria,VIA SAN GIROLAMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEONORA DUSE (Istituto Comprensivo),baic816009@pec.istruzione.it,E.DUSE (Direzione) INFANZIA,Infanzia,VIA SAN GIROLAMO,MARCHITELLI Gerardo,baic816009@istruzione.it,0808652800 - 0805347,0808652015 fax,3,COMUNE BARI,0,2,1,0,1,1,1,5,3,1,1,1,0,0,3,1,2,0,1,1,2,5,5,5,0,0,0,0,0,0,11,0,0,0,47,34,81,47,34,81,10,2,0,0,/
ELEONORA DUSE (Istituto Comprensivo),baic816009@pec.istruzione.it,E.DUSE (Direzione) SEC. 1°,Secondaria I Grado,VIA SAN GIROLAMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEONORA DUSE (Istituto Comprensivo),baic816009@pec.istruzione.it,E/28 INFANZIA,Infanzia,STRADA SAN GIROLAMO,MARCHITELLI Gerardo,baic816009@istruzione.it,808652852,0808652015 fax sede,3,COMUNE BARI,0,2,1,0,1,0,0,4,0,1,2,0,0,0,7,1,2,0,0,0,0,4,5,4,0,0,0,0,0,0,9,0,0,0,43,40,83,43,40,83,11,1,0,0,/
ELEONORA DUSE (Istituto Comprensivo),baic816009@pec.istruzione.it,SAN GIROLAMO,Primaria,STRADA SAN GIROLAMO,MARCHITELLI Gerardo,baic816009@istruzione.it,808652851,0808652015 fax sede,3,COMUNE BARI,0,2,1,0,1,0,0,13,0,0,1,0,0,0,8,1,1,0,0,0,0,13,5,13,0,0,0,0,0,0,68,6,4,0,128,120,248,128,120,248,41,5,0,0,/
FALCONE BORSELLINO (Istituto Comprensivo),baic80600p@pec.istruzione.it,CHIAIA INFANZIA,Infanzia,VIALE PUGLIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALCONE BORSELLINO (Istituto Comprensivo),baic80600p@pec.istruzione.it,CHIAIA PRIMARIA,Primaria,VIA BRINDISI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALCONE BORSELLINO (Istituto Comprensivo),baic80600p@pec.istruzione.it,CIRIELLI PRIMARIA,Primaria,via Molise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALCONE BORSELLINO (Istituto Comprensivo),baic80600p@pec.istruzione.it,CIRIELLI SEC.1°,Secondaria I Grado,via Molise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALCONE BORSELLINO (Istituto Comprensivo),baic80600p@pec.istruzione.it,FALCONE BORSELLINO (Direzione) INFANZIA,Infanzia,via Cassala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALCONE BORSELLINO (Istituto Comprensivo),baic80600p@pec.istruzione.it,FALCONE BORSELLINO (Direzione) PRIMARIA,Primaria,via Cassala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALCONE BORSELLINO (Istituto Comprensivo),baic80600p@pec.istruzione.it,FALCONE BORSELLINO (Direzione) SEC. 1°,Secondaria I Grado,via Cassala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALCONE BORSELLINO (Istituto Comprensivo),baic80600p@pec.istruzione.it,LOPOPOLO INFANZIA,Infanzia,VIAL LAZIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALCONE BORSELLINO (Istituto Comprensivo),baic80600p@pec.istruzione.it,PETRIGNANI PRIMARIA,Primaria,PIAZZA ROMITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRACCACRETA (Istituto Comprensivo),baic889003@pec.istruzione.it,SEC.1°,Secondaria I Grado,VIA VOLPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRACCACRETA (Istituto Comprensivo),baic889003@pec.istruzione.it,MARIA MONTESSORI INFANZIA,Infanzia,VIA RANIERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRACCACRETA (Istituto Comprensivo),baic889003@pec.istruzione.it,Primaria,Primaria,VIA VITT. VENETO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRACCACRETA (Istituto Comprensivo),baic889003@pec.istruzione.it,VIA VENETO,Secondaria I Grado,VIA VITT. VENETO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARIBALDI (Istituto Comprensivo),BAIC81500D@PEC.ISTRUZIONE.IT,GARIBALDI INFANZIA,Infanzia,p.zza RISORGIMENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARIBALDI (Istituto Comprensivo),BAIC81500D@PEC.ISTRUZIONE.IT,GARIBALDI PRIMARIA,Primaria,p.zza RISORGIMENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARIBALDI (Istituto Comprensivo),BAIC81500D@PEC.ISTRUZIONE.IT,PASCOLI SEC. 1°,Secondaria I Grado,via PIZZOLI 58,SALVEMINI MARIA GEROLAMA,baic81500d@istruzione.it,805214555,0,1,COMUNE,1,1,0,2,1,0,1,9,0,1,0,1,1,0,6,1,1,0,0,0,0,9,5,9,0,0,0,0,0,0,0,40,9,0,60,106,166,60,106,166,36,3,0,0,0
GARIBALDI (Istituto Comprensivo),BAIC81500D@PEC.ISTRUZIONE.IT,PIEMONTE (Direzione) INFANZIA,Infanzia,via E. FIERAMOSCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARIBALDI (Istituto Comprensivo),BAIC81500@PECISTRUZIONE.IT,PIEMONTE (Direzione) SEC. 1°,Secondaria I Grado,PIZZOLI 1,SALVEMINI MARIA GEROLAMA,baic81500d@istruzione.it,805214555,0,1,COMUNE,1,1,0,2,1,0,0,0,0,1,1,1,2,0,5,1,1,0,0,0,0,9,5,9,0,0,0,0,0,0,0,54,0,0,62,104,166,62,104,166,36,3,0,0,0
